Employee_ID,Work_Arrangement,Department,Job_Level,Years_Experience,Company_Size,Region,Meeting_Hours_Weekly,Commute_Minutes_Daily,Focus_Hours_Daily,Communication_Tool,Project_Tool,Focus_Score,Collaboration_Score,Innovation_Score,Work_Life_Balance_Score,Burnout_Risk_Percent,Satisfaction_Score,Tasks_Completed_Weekly,Response_Time_Hours,Survey_Date
8f0c6240,Office,Customer Support,Manager,11,Startup (<50),Middle East/Africa,12.9,75,4.9,Discord,Notion,7.3,9.2,7.9,7.2,33,6.5,31,1.5,2025-12-03
9531c9f7,Office,Sales,Senior,8,Small (50-200),Middle East/Africa,14.0,74,4.5,Microsoft Teams,Trello,6.2,9.1,8.4,8.7,17,7.5,22,3.1,2025-08-22
f19d3770,Remote,Sales,Senior,5,Large (1000-5000),Europe,7.0,0,8.0,Slack,Monday.com,8.0,6.2,6.6,9.3,20,8.9,31,5.3,2025-08-05
6e616219,Hybrid,Finance,Lead,10,Medium (200-1000),Europe,5.1,18,6.5,Zoom,Trello,5.0,7.0,7.5,8.4,20,8.9,22,3.5,2025-12-22
53eb3625,Remote,Design,Manager,7,Startup (<50),Americas,3.8,0,8.0,Discord,Linear,8.9,5.0,7.0,7.0,26,6.9,27,5.5,2025-09-23
67d94772,Remote,Finance,Senior,4,Large (1000-5000),Europe,4.3,0,8.0,Zoom,Trello,5.8,3.5,4.8,8.6,12,7.6,32,4.6,2025-09-17
34ccdf85,Hybrid,Finance,Mid,2,Enterprise (5000+),Europe,5.6,24,7.0,Discord,Linear,4.8,7.6,6.2,7.8,15,9.0,28,3.0,2025-09-13
de759633,Hybrid,Product,Junior,0,Small (50-200),Americas,4.8,32,6.7,Microsoft Teams,Notion,6.4,5.4,8.0,7.2,4,6.2,35,4.8,2025-08-28
d4dfc677,Hybrid,HR,Director,15,Medium (200-1000),Americas,6.7,30,6.4,Discord,Asana,9.1,7.7,7.1,5.9,8,6.7,33,5.8,2025-12-22
2c11abd1,Office,Engineering,Junior,1,Small (50-200),Americas,11.0,45,4.9,Discord,Monday.com,4.6,9.1,8.1,5.3,38,5.5,31,2.0,2025-08-20
7e64228a,Hybrid,Operations,Manager,12,Enterprise (5000+),Asia-Pacific,8.2,24,6.5,Google Meet,Trello,9.2,8.1,9.6,7.8,3,6.5,42,5.7,2025-12-10
8192fc7d,Remote,Customer Support,Mid,3,Enterprise (5000+),Americas,3.9,0,8.0,Discord,Linear,7.3,6.0,8.1,8.1,30,5.2,36,4.2,2025-12-22
2239ca02,Hybrid,Marketing,Lead,10,Large (1000-5000),Americas,5.0,42,6.8,Slack,Notion,9.0,8.3,9.3,7.3,11,7.5,34,4.2,2026-01-21
6f633c75,Remote,Design,Junior,0,Enterprise (5000+),Europe,7.6,0,7.2,Zoom,Monday.com,8.0,7.3,4.9,7.0,8,6.6,33,4.5,2025-11-14
443a1843,Hybrid,Operations,Senior,9,Medium (200-1000),Americas,5.9,37,7.7,Discord,Notion,5.7,6.9,7.8,10.0,0,8.6,29,4.4,2025-08-17
9fa7da32,Remote,Engineering,Mid,2,Startup (<50),Americas,3.0,0,8.0,Discord,Monday.com,8.2,5.7,6.1,8.0,17,7.5,39,7.1,2025-11-23
d542ff88,Hybrid,Operations,Junior,0,Medium (200-1000),Americas,10.7,16,6.1,Discord,Monday.com,8.4,8.2,5.3,6.8,33,7.1,38,3.4,2025-10-21
fdf72f7c,Hybrid,Engineering,Senior,9,Medium (200-1000),Americas,9.1,22,6.0,Discord,Trello,8.5,9.8,5.0,8.8,7,8.3,27,3.7,2025-08-07
ba6fe176,Office,HR,Senior,5,Medium (200-1000),Asia-Pacific,11.9,76,5.0,Google Meet,Monday.com,5.0,9.5,6.0,6.7,29,8.3,27,4.3,2025-08-06
